Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/25/2023,24-060,MIN,@,TOR,L (-3),0,23:46,3,8,0.375,0,2,0,4,4,1,1,3,4,1,0,0,1,0,10,6.9,1
2,2,10/28/2023,24-063,MIN,,MIA,W (+16),0,28:26:00,10,14,0.714,4,7,0.571,1,1,1,1,7,8,1,2,0,0,3,25,23.5,30
3,3,10/30/2023,24-065,MIN,@,ATL,L (-14),0,23:58,5,12,0.417,3,7,0.429,0,0,,0,1,1,0,0,0,1,1,13,5.5,-21
4,4,11/1/2023,24-067,MIN,,DEN,W (+21),0,19:19,6,9,0.667,1,3,0.333,3,3,1,1,4,5,1,1,0,1,0,16,14.7,4
5,5,11/4/2023,24-070,MIN,,UTA,W (+28),0,22:06,5,9,0.556,3,5,0.6,3,4,0.75,2,3,5,1,0,0,1,0,16,13.3,9
6,6,11/6/2023,24-072,MIN,,BOS,W (+5),0,25:06:00,5,9,0.556,2,4,0.5,2,2,1,1,3,4,2,2,2,3,0,14,13.1,-2
7,7,11/8/2023,24-074,MIN,,NOP,W (+21),0,21:46,4,8,0.5,1,4,0.25,0,0,,1,3,4,0,1,0,0,2,9,6.8,17
8,8,11/10/2023,24-076,MIN,@,SAS,W (+7),0,18:14,3,7,0.429,1,3,0.333,0,0,,1,2,3,0,0,2,0,1,7,5.6,7
9,9,11/12/2023,24-078,MIN,@,GSW,W (+6),0,18:41,3,8,0.375,2,5,0.4,2,2,1,1,5,6,2,0,0,2,2,10,6.4,10
10,10,11/14/2023,24-080,MIN,@,GSW,W (+3),0,16:24,4,5,0.8,2,3,0.667,0,0,,0,2,2,0,0,0,1,4,10,6.1,-8
11,11,11/15/2023,24-081,MIN,@,PHO,L (-18),0,18:48,4,7,0.571,1,2,0.5,4,4,1,2,2,4,0,1,0,0,0,13,12.7,-5
