Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,83,4/20/2024,24-238,MIN,,PHO,W (+25),0,19:17,4,10,0.4,2,6,0.333,2,2,1,0,2,2,2,1,0,0,1,12,9.2,22
2,84,4/23/2024,24-241,MIN,,PHO,W (+12),0,16:46,1,5,0.2,0,3,0,3,4,0.75,0,2,2,0,0,0,1,2,5,0.3,0
3,85,4/26/2024,24-244,MIN,@,PHO,W (+17),0,17:54,5,10,0.5,2,5,0.4,1,2,0.5,0,1,1,2,0,0,0,2,13,8.5,7
4,86,4/28/2024,24-246,MIN,@,PHO,W (+6),0,19:31,2,4,0.5,1,2,0.5,3,4,0.75,0,3,3,0,0,1,0,4,8,5.6,3
5,87,5/4/2024,24-252,MIN,@,DEN,W (+7),0,23:07,7,11,0.636,2,4,0.5,0,1,0,1,3,4,3,1,0,3,0,16,12.4,-7
6,88,5/6/2024,24-254,MIN,@,DEN,W (+26),0,29:03:00,5,14,0.357,4,8,0.5,0,0,,1,4,5,0,1,4,2,1,14,9.5,9
7,89,5/10/2024,24-258,MIN,,DEN,L (-27),0,20:45,2,7,0.286,1,3,0.333,2,2,1,0,1,1,1,1,0,0,2,7,4.1,-25
8,90,5/12/2024,24-260,MIN,,DEN,L (-8),0,18:51,5,6,0.833,1,2,0.5,0,0,,0,4,4,0,0,0,0,3,11,8.8,-9
9,91,5/14/2024,24-262,MIN,@,DEN,L (-15),0,19:47,3,8,0.375,0,3,0,1,2,0.5,0,3,3,0,0,1,1,4,7,1.2,-2
10,92,5/16/2024,24-264,MIN,,DEN,W (+45),0,22:04,4,12,0.333,0,4,0,2,2,1,1,10,11,1,1,0,0,2,10,7.8,17
11,93,5/19/2024,24-267,MIN,@,DEN,W (+8),0,21:55,4,7,0.571,1,4,0.25,2,2,1,2,2,4,1,0,2,0,1,11,11.4,-5
12,94,5/22/2024,24-270,MIN,,DAL,L (-3),0,24:02:00,5,9,0.556,3,6,0.5,2,4,0.5,1,4,5,2,1,1,2,2,15,12.1,-11
13,95,5/24/2024,24-272,MIN,,DAL,L (-1),0,31:44:00,8,13,0.615,7,9,0.778,0,0,,0,2,2,0,2,1,1,2,23,18.6,0
14,96,5/26/2024,24-274,MIN,@,DAL,L (-9),0,28:58:00,5,10,0.5,1,5,0.2,3,4,0.75,1,2,3,2,0,0,0,1,14,10.9,2
15,97,5/28/2024,24-276,MIN,@,DAL,W (+5),0,19:51,3,6,0.5,0,1,0,0,1,0,1,4,5,1,0,1,1,1,6,4.5,-10
16,98,5/30/2024,24-278,MIN,,DAL,L (-21),0,27:03:00,2,10,0.2,0,4,0,1,1,1,1,3,4,1,0,1,3,4,5,-2.8,-14
