Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/20/2021,22-055,MIN,,HOU,W (+18),0,18:37,2,5,0.4,0,2,0,1,2,0.5,2,5,7,1,1,3,2,3,5,5.4,-16
2,2,10/23/2021,22-058,MIN,,NOP,W (+7),0,19:23,4,12,0.333,2,6,0.333,2,2,1,1,2,3,0,3,1,1,5,12,7.2,2
3,3,10/25/2021,22-060,MIN,,NOP,L (-9),0,8:24,1,3,0.333,0,1,0,0,2,0,0,0,0,0,1,1,0,3,2,0,-17
4,4,10/27/2021,22-062,MIN,@,MIL,W (+5),0,9:36,3,4,0.75,0,1,0,1,1,1,1,0,1,0,0,0,1,2,7,4.3,-2
5,5,10/30/2021,22-065,MIN,,DEN,L (-2),0,18:30,5,8,0.625,2,5,0.4,0,0,,1,3,4,1,0,2,1,1,12,10.7,15
6,6,11/1/2021,22-067,MIN,,ORL,L (-18),0,13:39,4,7,0.571,1,3,0.333,1,1,1,1,1,2,1,0,0,1,3,10,6.2,-10
7,7,11/3/2021,22-069,MIN,,LAC,L (-11),0,11:46,3,7,0.429,0,3,0,5,6,0.833,0,0,0,2,1,0,0,0,11,9.3,1
8,8,11/5/2021,22-071,MIN,,LAC,L (-20),0,16:11,3,6,0.5,2,3,0.667,0,1,0,0,5,5,2,0,1,2,3,8,5,8
9,9,11/8/2021,22-074,MIN,@,MEM,L (-7),0,14:18,2,4,0.5,2,2,1,2,2,1,1,4,5,1,0,1,0,1,8,8.9,15
10,10,11/10/2021,22-076,MIN,@,GSW,L (-13),0,25:12:00,5,11,0.455,1,3,0.333,5,6,0.833,3,3,6,2,1,0,0,3,16,14.1,-19
11,11,11/12/2021,22-078,MIN,@,LAL,W (+24),0,18:58,6,12,0.5,0,3,0,0,0,,3,2,5,1,1,0,0,2,12,9.6,-5
12,12,11/13/2021,22-079,MIN,@,LAC,L (-27),0,14:15,2,5,0.4,1,1,1,2,2,1,0,0,0,0,0,2,0,4,7,4.1,-28
13,,11/15/2021,22-081,MIN,,PHO,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,13,11/17/2021,22-083,MIN,,SAC,W (+10),0,13:05,3,4,0.75,1,2,0.5,1,2,0.5,1,1,2,0,0,2,0,2,8,7.6,-13
15,,11/18/2021,22-084,MIN,,SAS,W (+25),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
16,14,11/20/2021,22-086,MIN,,MEM,W (+43),0,15:25,2,6,0.333,0,1,0,0,1,0,4,2,6,1,1,2,2,1,4,4.3,8
17,15,11/22/2021,22-088,MIN,@,NOP,W (+14),0,10:26,3,4,0.75,0,1,0,0,0,,1,0,1,0,1,1,0,3,6,5.6,-2
18,16,11/24/2021,22-090,MIN,,MIA,W (+12),0,16:08,0,4,0,0,2,0,2,2,1,2,4,6,1,0,1,0,2,2,2.4,-5
19,17,11/26/2021,22-092,MIN,@,CHO,L (-18),0,13:39,1,6,0.167,0,0,,3,4,0.75,2,4,6,1,1,1,0,2,5,5,-14
20,18,11/27/2021,22-093,MIN,@,PHI,W (+1),0,20:36,6,9,0.667,1,1,1,0,0,,2,3,5,0,0,1,4,5,13,6.1,3
21,19,11/29/2021,22-095,MIN,,IND,W (+2),0,22:52,5,7,0.714,1,2,0.5,2,4,0.5,0,2,2,1,0,1,0,3,13,10.1,20
22,20,12/1/2021,22-097,MIN,@,WAS,L (-8),0,18:12,6,10,0.6,1,3,0.333,0,0,,2,1,3,0,0,0,2,4,13,6.5,-8
23,21,12/3/2021,22-099,MIN,@,BRK,L (-5),1,34:29:00,7,14,0.5,3,6,0.5,2,2,1,2,5,7,1,0,0,0,2,19,14.8,-10
